,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,2019-02-05,156.75,157.41000400000001,156.550003,157.320007,154.761841,1985700,0.0
1,1,1,2019-02-06,157.149994,158.029999,156.889999,157.16000400000001,154.604446,1375100,2.0010180898188317
2,2,2,2019-02-07,155.850006,156.0,154.190002,155.179993,152.656631,2109800,2.0127594476692625
3,3,3,2019-02-08,154.149994,155.949997,154.020004,155.58999599999999,153.05998200000005,2300000,1.997364849858342
4,4,4,2019-02-11,156.0,157.300003,155.020004,155.320007,152.794373,1410500,2.0017382757393256
5,5,5,2019-02-12,156.029999,157.029999,155.639999,156.630005,154.083069,1861300,1.9916363534560315
6,6,6,2019-02-13,157.0,158.53999299999995,156.860001,158.029999,155.460297,1952100,1.9911409605210464
7,7,7,2019-02-14,157.720001,158.83999599999999,156.740005,157.850006,155.283218,1552900,2.0011402787023016
8,8,8,2019-02-15,159.080002,159.330002,158.229996,159.229996,156.640778,2395200,1.9913333540496982
9,9,9,2019-02-19,158.610001,160.100006,158.190002,159.479996,156.886719,1656500,1.9984324052779636
10,10,10,2019-02-20,159.779999,160.119995,158.429993,159.71000700000005,157.112991,1942300,1.9985598209885493
11,11,11,2019-02-21,159.580002,160.050003,158.880005,159.529999,156.935898,1835700,2.0011283645780003
12,12,12,2019-02-22,160.179993,161.830002,159.96000700000005,161.5,158.873871,1679300,1.9878018513931888
13,13,13,2019-02-25,162.059998,162.41000400000001,161.529999,161.669998,159.041122,1368000,1.99894848764704
14,14,14,2019-02-26,161.619995,162.5,161.03999299999995,161.33999599999999,158.716476,1526200,2.002045382472924
15,15,15,2019-02-27,160.850006,161.259995,160.130005,160.630005,158.018021,1536300,2.004420039705533
16,16,16,2019-02-28,160.899994,162.0,160.389999,161.380005,158.755829,2017300,1.9953525841073063
17,17,17,2019-03-01,163.0,164.899994,162.679993,164.199997,161.529968,2227600,1.9828258705753816
18,18,18,2019-03-04,164.75,164.919998,160.91000400000001,162.820007,160.17240900000004,1896300,2.008475555464139
19,19,19,2019-03-05,162.970001,163.91000400000001,162.520004,163.669998,161.008591,1564900,1.994806678008269
20,20,20,2019-03-06,164.059998,164.059998,162.33999599999999,162.389999,159.749405,1733300,2.0078822526503
21,21,21,2019-03-07,162.21000700000005,162.449997,160.779999,161.850006,159.218185,1655000,2.003336379239924
22,22,22,2019-03-08,161.0,161.809998,160.5,161.690002,159.060791,1458100,2.0009895726267604
23,23,23,2019-03-11,162.479996,164.070007,161.990005,163.940002,161.2742,1240400,1.986275466801568
24,24,24,2019-03-12,164.490005,165.820007,163.720001,163.990005,161.323395,2351200,1.9996950850754593
25,25,25,2019-03-13,164.970001,165.279999,163.66000400000001,164.110001,161.441437,2095200,1.9992688075116152
26,26,26,2019-03-14,164.46000700000005,164.929993,164.110001,164.820007,162.139893,2270100,1.9956922341351437
27,27,27,2019-03-15,165.0,167.03999299999995,164.899994,166.389999,163.684357,3737200,1.9905643848221914
28,28,28,2019-03-18,166.75,167.440002,165.139999,166.429993,163.723709,1592100,1.999759694756461
29,29,29,2019-03-19,167.110001,167.630005,165.529999,166.199997,163.497452,1949600,2.0013838508071697
30,30,30,2019-03-20,166.399994,167.259995,164.809998,166.270004,163.566315,2128800,1.9995789559252073
31,31,31,2019-03-21,165.179993,168.919998,165.179993,168.240005,165.504288,1666400,1.9882905317317363
32,32,32,2019-03-22,167.800003,168.419998,165.110001,165.240005,162.55307,1602600,2.018155409762908
33,33,33,2019-03-25,164.979996,165.470001,164.0,165.080002,162.39566000000005,1769900,2.000969245202699
34,34,34,2019-03-26,166.479996,167.600006,165.940002,166.940002,164.225418,1777800,1.9888582725666912
35,35,35,2019-03-27,167.0,167.800003,165.369995,166.470001,163.76306200000005,2376200,2.002823337521335
36,36,36,2019-03-28,170.919998,177.490005,170.479996,175.119995,172.272385,5398700,1.9506053320753007
37,37,37,2019-03-29,175.300003,176.970001,174.949997,176.020004,173.157776,2773000,1.9948868936510193
38,38,38,2019-04-01,175.5,176.520004,174.78999299999995,176.320007,173.452896,2977900,1.998298531147404
39,39,39,2019-04-02,175.830002,176.550003,174.559998,175.369995,172.518326,1923600,2.0054171866743795
40,40,40,2019-04-03,175.899994,177.389999,175.479996,177.190002,174.30874599999999,2481800,1.9897285005956487
41,41,41,2019-04-04,177.190002,177.440002,175.860001,177.16000400000001,174.279221,2270200,2.0001693271580643
42,42,42,2019-04-05,177.440002,178.419998,177.03999299999995,178.149994,175.253128,1861500,1.9944429411544073
43,43,43,2019-04-08,177.669998,179.080002,177.369995,178.91000400000001,176.000793,1373300,1.9957519983063663
44,44,44,2019-04-09,177.75,178.470001,177.279999,177.729996,174.839966,1813900,2.0066393294691798
45,45,45,2019-04-10,176.800003,177.75,176.100006,177.0,175.564041,1582600,2.004124271186441
46,46,46,2019-04-11,177.179993,178.470001,176.899994,178.360001,176.91301,1417200,1.992374966402921
47,47,47,2019-04-12,178.5,179.360001,177.800003,178.639999,177.19073500000005,2663400,1.9984326130678047
48,48,48,2019-04-15,178.41000400000001,179.639999,177.949997,179.300003,177.845383,1619800,1.996318996157518
49,49,49,2019-04-16,179.800003,179.899994,178.259995,179.059998,177.60733000000005,1618200,2.0013403607878963
50,50,50,2019-04-17,179.580002,180.0,178.899994,178.949997,177.49823,1637400,2.000614702441152
51,51,51,2019-04-18,178.720001,179.0,177.389999,178.610001,177.16098,1319700,2.0019035664189935
52,52,52,2019-04-22,177.25,178.25,177.020004,178.070007,176.62536599999999,1393900,2.0030324814891483
53,53,53,2019-04-23,178.199997,180.550003,177.96000700000005,180.479996,179.01580800000005,1785500,1.9866467805107886
54,54,54,2019-04-24,180.860001,181.41000400000001,180.270004,180.809998,179.343124,1463900,1.998174868626457
55,55,55,2019-04-25,180.580002,180.580002,178.610001,179.949997,178.490097,1035300,2.004779110943803
56,56,56,2019-04-26,180.119995,180.850006,179.08999599999999,180.830002,179.362961,1010300,1.995133523252408
57,57,57,2019-04-29,180.779999,181.720001,180.639999,181.21000700000002,179.73988300000005,1111900,1.997902957975163
58,58,58,2019-04-30,181.580002,182.830002,181.169998,182.669998,181.188049,1535800,1.9920074943012809
59,59,59,2019-05-01,183.199997,183.350006,181.28999299999998,181.309998,179.839066,1242400,2.0075009652804696
60,60,60,2019-05-02,181.0,182.330002,178.490005,179.389999,177.934662,1889900,2.010702932218646
61,61,61,2019-05-03,177.029999,177.96000700000005,176.520004,176.979996,175.544205,2680200,2.0136173751523874
62,62,62,2019-05-06,173.830002,176.869995,172.889999,176.259995,174.830048,1630200,2.0040848804063565
63,63,63,2019-05-07,174.919998,175.149994,172.360001,173.940002,172.52886999999996,2308500,2.0133378922233196
64,64,64,2019-05-08,174.070007,175.25,173.16000400000001,173.820007,172.409836,1984900,2.00069034055441
65,65,65,2019-05-09,172.100006,174.580002,171.389999,174.46000700000005,173.04466200000005,2044800,1.9963315374623363
66,66,66,2019-05-10,173.720001,174.979996,170.669998,174.300003,172.885941,2139600,2.0009179804776025
67,67,67,2019-05-13,171.389999,172.0,170.350006,171.020004,169.632553,1853800,2.0191790370908893
68,68,68,2019-05-14,171.91000400000001,174.770004,171.91000400000001,173.610001,172.201538,2181200,1.9850815218876703
69,69,69,2019-05-15,172.21000700000005,176.139999,172.179993,175.399994,173.97701999999995,2060800,1.9897947944057512
70,70,70,2019-05-16,176.270004,179.75,176.110001,178.169998,176.724548,2232100,1.984453027832441
71,71,71,2019-05-17,176.389999,179.190002,176.389999,178.330002,176.883255,1551100,1.9991027645477175
72,72,72,2019-05-20,176.979996,179.470001,176.440002,178.53999299999995,177.09153700000005,1566000,1.9988238433503247
73,73,73,2019-05-21,179.610001,180.0,178.809998,179.570007,178.11319,1224900,1.9942639975505483
74,74,74,2019-05-22,179.320007,181.380005,179.190002,180.389999,178.92652900000004,1212300,1.9954543377984055
