,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,2017-12-01,1172.050049,1194.780029,1124.73999,1169.469971,1169.469971,57760200,0.0
1,1,1,2018-01-01,1172.0,1472.579956,1170.51001,1450.890015,1450.890015,96371200,1.8060362666428578
2,2,2,2018-02-01,1445.0,1528.699951,1265.930054,1512.449951,1512.449951,137784000,1.9592978690241631
3,3,3,2018-03-01,1513.599976,1617.540039,1365.199951,1447.339966,1447.339966,130400100,2.0449859649629825
4,4,4,2018-04-01,1417.619995,1638.099976,1352.880005,1566.130005,1566.130005,129919600,1.9241505886352008
5,5,5,2018-05-01,1563.219971,1635.0,1546.02002,1629.619995,1629.619995,71615500,1.9610400030713908
6,6,6,2018-06-01,1637.030029,1763.0999760000002,1635.089966,1699.800049,1699.800049,85941300,1.9587127591617102
7,7,7,2018-07-01,1682.699951,1880.050049,1678.060059,1777.439941,1777.439941,97521100,1.9563192599597377
8,8,8,2018-08-01,1784.0,2025.569946,1776.02002,2012.709961,2012.709961,96575800,1.883107837413838
9,9,9,2018-09-01,2026.5,2050.5,1865.0,2003.0,2003.0,94445500,2.004847708936595
10,10,10,2018-10-01,2021.9899899999998,2033.189941,1476.359985,1598.01001,1598.01001,183220800,2.253433950642149
11,11,11,2018-11-01,1623.530029,1784.0,1420.0,1690.1700440000006,1690.1700440000006,139290000,1.9454729218949518
12,12,12,2018-12-01,1769.459961,1778.339966,1307.0,1501.969971,1501.969971,154812700,2.125302154259914
13,13,13,2019-01-01,1465.199951,1736.410034,1460.930054,1718.72998,1718.72998,134001700,1.8738836166690942
14,14,14,2019-02-01,1638.880005,1673.060059,1566.76001,1639.829956,1639.829956,80936900,2.048114759528152
15,15,15,2019-03-01,1655.130005,1823.75,1586.569946,1780.75,1780.75,100832200,1.9208647794468623
16,16,16,2019-04-01,1800.109985,1956.339966,1798.72998,1926.52002,1926.52002,81293700,1.924335060893891
17,17,17,2019-05-01,1933.089966,1964.4000239999998,1772.699951,1775.069946,1775.069946,98214400,2.0853206231908112
18,18,18,2019-06-01,1760.0100100000002,1935.199951,1672.0,1893.630005,1893.630005,74742700,1.937390061053664
19,19,19,2019-07-01,1922.97998,2035.800049,1849.439941,1866.780029,1866.780029,73177400,2.0143830422346993
20,20,20,2019-08-01,1871.719971,1897.9200440000002,1743.5100100000002,1776.290039,1776.290039,79638300,2.0509432513909402
21,21,21,2019-09-01,1770.0,1853.660034,1709.219971,1735.910034,1735.910034,61172900,2.0232615770455302
22,22,22,2019-10-01,1746.0,1798.8499760000002,1685.060059,1776.660034,1776.660034,70360500,1.9770637042426993
23,23,23,2019-11-01,1788.0100100000002,1824.689941,1722.709961,1800.800049,1800.800049,52076200,1.9865948387699095
24,24,24,2019-12-01,1804.4000239999998,1901.4000239999998,1735.0,1847.839966,1847.839966,68149600,1.9745432949467876
25,25,25,2020-01-01,1875.0,2055.719971,1815.339966,2008.719971,2008.719971,84698300,1.9199091922604279
26,26,26,2020-02-01,2010.5999760000002,2059.800049,2000.25,2049.669922,2049.669922,11173900,1.9800211972862234
27,27,27,2020-02-04,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289338,2.0
