,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,2017-12-01,98.08000200000001,100.529999,95.849998,99.309998,96.13685600000001,65046400,0.0
1,1,1,2018-01-01,99.730003,102.389999,96.349998,99.400002,96.223984,81900600,1.9990945271811964
2,2,2,2018-02-01,98.949997,102.120003,87.540001,97.510002,94.727425,88312400,2.019382627025277
3,3,3,2018-03-01,97.82,99.699997,90.410004,93.279999,90.618126,78495700,2.045347373985285
4,4,4,2018-04-01,93.139999,102.959999,89.959999,98.75,95.932037,84082200,1.9446075848101265
5,5,5,2018-05-01,98.82,103.239998,95.510002,98.300003,95.853394,61288200,2.0045777923323156
6,6,6,2018-06-01,99.339996,102.389999,95.650002,98.0,95.56085999999999,83248200,2.003061255102041
7,7,7,2018-07-01,97.400002,104.239998,97.160004,99.519997,97.043015,76267100,1.98472671778718
8,8,8,2018-08-01,99.900002,107.43,98.66999799999999,105.980003,103.713257,52885700,1.9390450479606045
9,9,9,2018-09-01,106.349998,111.769997,104.550003,106.489998,104.21234100000001,59450500,1.9952108647799955
10,10,10,2018-10-01,107.809998,109.400002,100.040001,102.730003,100.532776,88321800,2.03660074846878
11,11,11,2018-11-01,103.260002,113.18,102.889999,112.269997,110.265244,72184900,1.9150263271139127
12,12,12,2018-12-01,113.989998,114.550003,89.050003,95.32,93.61792,96451500,2.177822041544272
13,13,13,2019-01-01,93.910004,102.900002,93.230003,102.699997,100.866135,88543100,1.928140241328342
14,14,14,2019-02-01,102.410004,108.849998,102.410004,107.739998,106.24920700000001,58842300,1.9532207063898406
15,15,15,2019-03-01,108.400002,114.25,106.68,109.300003,107.787628,70700200,1.9857273105472835
16,16,16,2019-04-01,110.290001,117.730003,109.41999799999999,117.230003,115.60790300000001,72221100,1.9323552009121763
17,17,17,2019-05-01,117.470001,120.879997,114.559998,114.709999,113.52323200000001,69606000,2.021968477220543
18,18,18,2019-06-01,114.559998,126.400002,113.889999,123.440002,122.16291000000001,57138300,1.9292773585664718
19,19,19,2019-07-01,125.300003,129.33999599999999,123.620003,124.370003,123.08328200000001,73150500,1.9925223045946217
20,20,20,2019-08-01,123.769997,126.739998,116.849998,120.370003,119.4972,72074600,2.0332308706513866
21,21,21,2019-09-01,119.860001,121.629997,116.099998,118.279999,117.42235600000001,78724200,2.017669969713138
22,22,22,2019-10-01,118.699997,119.980003,111.059998,117.279999,116.429604,70555400,2.0085266030740674
23,23,23,2019-11-01,118.410004,122.43,117.760002,120.120003,119.705101,46669000,1.976356943647429
24,24,24,2019-12-01,120.309998,126.33000200000001,114.650002,124.489998,124.059998,63636800,1.9648968184576565
25,25,25,2020-01-01,124.660004,138.130005,123.120003,129.869995,129.421417,71778000,1.9585739800790782
26,26,26,2020-02-01,130.550003,133.33999599999999,130.449997,131.850006,131.850006,5268900,1.9849828524088198
27,27,27,2020-02-04,132.880005,133.33999599999999,131.720001,131.850006,131.850006,2132852,2.0
